bike_route_name,street_name,bikeway_type,subtype,status,surface_type,snow_removal,segment_length,latitude,longitude,Province
Stephens,Stephens,Local Street,,Active,Paved,No,,49.27056931651677,-123.1662858,BC
Burnaby,Burnaby,Local Street,,Active,Paved,No,,49.28254504,-123.13668,BC
Ridgeway,E 45th Ave,Local Street,,Active,Paved,Yes,,49.22940557376588,-123.0584823,BC
Wales Duchess,Euclid,Local Street,,Active,Paved,No,,49.24181270253102,-123.04694,BC
Yukon,Wylie,Local Street,,Active,Paved,Yes,,49.26770624778983,-123.1132834,BC
Seaside,Off Street,Protected Bike Lanes,OSB,Active,Paved,No,,49.29508355219613,-123.1363456,BC
Kent,Crompton,Local Street,,Active,Paved,No,,49.20892629117624,-123.080791,BC
Seaside,Point Grey Rd,Protected Bike Lanes,SL,Active,Paved,Yes,,49.27195440108403,-123.1884573,BC
Dunbar,Dunbar,Painted Lanes,NB,Active,Paved,Yes,,49.25490127210104,-123.185137,BC
45th Ave,E 47th Ave,Local Street,,Active,Paved,Yes,,49.22765810601433,-123.0768659,BC
3rd Ave,W 3rd Ave,Local Street,,Active,Paved,No,,49.26946806231753,-123.1826296,BC
Sunrise,Kaslo,Local Street,,Active,Paved,No,,49.27806583681968,-123.0467071,BC
Heather,Heather,Local Street,,Active,Paved,No,,49.25930324746094,-123.1200202,BC
CHOY YUEN,CHOY YUEN CRESCENT,Protected Bike Lanes,R,Active,Paved,No,,49.23272005269249,-123.1215347,BC
Balaclava,Balaclava,Local Street,,Active,Paved,No,,49.26567357075709,-123.1739216,BC
Portside,Wall,Local Street,,Active,Paved,No,,49.29089977807072,-123.0436972,BC
Cardero,Cardero,Local Street,,Active,Paved,No,,49.28814516598396,-123.1342494,BC
Lakewood,Lakewood,Local Street,,Active,Paved,No,,49.279257495502925,-123.0617378,BC
Drake,Drake St,Protected Bike Lanes,SL,Active,Paved,Yes,,49.275609860775475,-123.1270439,BC
Lakewood,Lakewood,Local Street,,Active,Paved,No,,49.276680710137256,-123.0617485,BC
Beatty,Beatty,Protected Bike Lanes,SL,Active,Paved,Yes,,49.278494588398445,-123.1126009,BC
Seaside,Chestnut,Local Street,,Active,Paved,No,,49.27700572154002,-123.1461846,BC
Masumi Mitsui Greenway,W 59th Ave,Local Street,,Active,Paved,No,,49.21703180359277,-123.1248892,BC
Cassiar,Cassiar,Local Street,,Active,Paved,No,,49.27990720640911,-123.0308468,BC
Water,WATER ST,Painted Lanes,NB,Active,Paved,Yes,,49.28458329932322,-123.1102633,BC
45th Ave,W 46th Ave,Local Street,,Active,Paved,No,,49.229295747833504,-123.1280403,BC
33rd Ave,W 33rd Ave,Painted Lanes,NB,Active,Paved,Yes,,49.24198489447355,-123.1469069,BC
Heather,Willow,Local Street,,Active,Paved,No,,49.23844875625537,-123.1237038,BC
Dunbar,Dunbar,Painted Lanes,NB,Active,Paved,Yes,,49.23545248652744,-123.1853257,BC
10th Ave,W 10th Ave,Local Street,,Active,Paved,Yes,,49.26217443223908,-123.1102374,BC
SW Marine,SW Marine Drive,Painted Lanes,PBT,Active,Paved,Yes,,49.230182440291664,-123.1835425,BC
Central Valley,Grandview Hwy North,Protected Bike Lanes,SL,Active,Paved,Yes,,49.26407384078041,-123.0707323,BC
Windsor,Windsor,Local Street,,Active,Paved,No,,49.24883591230643,-123.0838842,BC
Keefer,Keefer,Local Street,,Active,Paved,No,,49.27942563345932,-123.0967123,BC
SW Marine,SW Marine Drive,Painted Lanes,PBT,Active,Paved,Yes,,49.230150772153806,-123.1811984,BC
Seaside,Maple,Local Street,,Active,Paved,No,,49.27683496118914,-123.1500381,BC
Quebec,Quebec,Painted Lanes,NB,Active,Paved,Yes,,49.276339930872126,-123.1021733,BC
Seaside,Off Street,Protected Bike Lanes,SL,Active,Paved,Yes,,49.27465381993317,-123.1397469,BC
Heather,Heather,Local Street,,Active,Paved,No,,49.25038075037604,-123.1203255,BC
10th Ave,E 10th Ave,Local Street,SL,Active,Paved,Yes,,49.26143366183132,-123.0778438,BC
Prince Edward,Prince Edward,Local Street,,Active,Paved,No,,49.23366714090504,-123.0971852,BC
Alder,Alder,Local Street,,Active,Paved,No,,49.264603433063066,-123.1313158,BC
Central Valley,E 1st Ave,Local Street,,Temporary,Paved,Yes,,49.26800311534891,-123.0966889,BC
Cypress,Angus Drive,Local Street,,Active,Paved,No,,49.22513102024775,-123.1480251,BC
Sunrise,Slocan,Shared Lanes,,Active,Paved,Yes,,49.250414846133374,-123.0496145,BC
Beach,BEACH AV,Protected Bike Lanes,SL,Active,Paved,Yes,,49.28659078,-123.1424329,BC
5th Ave,W 5th Ave,Local Street,,Active,Paved,,,49.26708984656688,-123.1412968,BC
Ridgeway,W 18th Ave,Local Street,,Active,Paved,No,,49.25648512741095,-123.1854395,BC
Midtown/Ridgeway,E 37th Ave,Local Street,,Active,Paved,No,,49.23642172892453,-123.0799675,BC
Inverness,Inverness,Local Street,,Active,Paved,No,,49.22841380635327,-123.0799509,BC
29th Ave,Nanton,Local Street,,Active,Paved,No,,49.24634092998643,-123.1295936,BC
Gladstone,Gladstone,Local Street,,Active,Paved,No,,49.24627434237154,-123.0604145,BC
Balaclava,Carnarvon,Local Street,,Active,Paved,No,,49.23245396964399,-123.1730711,BC
Cypress,Cypress,Local Street,,Active,Paved,No,,49.27555481865578,-123.1476861,BC
SW Marine,SW Marine Drive,Painted Lanes,NB,Active,Paved,Yes,,49.23626222524558,-123.2017859,BC
Seaside,Coal Harbor Seawalk,Protected Bike Lanes,OSB,Active,Paved,Yes,,49.29035294544921,-123.1210494,BC
Sunrise,Vivian St,Local Street,,Active,Paved,No,,49.22612198387251,-123.0502513,BC
Alexander,Alexander,Local Street,,Active,Paved,Yes,,49.28399678795441,-123.0942889,BC
Balaclava,Balaclava,Local Street,,Active,Paved,No,,49.22877666246608,-123.1758791,BC
Hornby,Hornby,Protected Bike Lanes,SL,Active,Paved,Yes,,49.28505770330163,-123.1181268,BC
Cambie,Cambie,Protected Bike Lanes,SL,Active,Paved,Yes,,49.28068509350613,-123.1112101,BC
42nd Ave,W 42nd Ave,Local Street,,Active,Paved,No,,49.23226446252631,-123.1072382,BC
Sunrise,Slocan,Local Street,,Active,Paved,No,,49.275592264809774,-123.0493667,BC
Cypress,Angus Drive,Local Street,,Active,Paved,No,,49.23837727050308,-123.1462307,BC
Cypress,Cypress,Local Street,,Active,Paved,No,,49.258375945560815,-123.1483291,BC
Lakewood,Lakewood,Local Street,,Active,Paved,No,,49.28459267351819,-123.0616396,BC
Seaside,Off Street,Protected Bike Lanes,OSB,Active,Paved,Yes,,49.27196404041956,-123.1068838,BC
Cambie,Cambie,Protected Bike Lanes,R,Active,Paved,No,,49.212750704437354,-123.1167315,BC
Midtown/Ridgeway,W 37th Ave,Local Street,,Active,Paved,No,,49.23770931799661,-123.1294788,BC
Cambie,Cambie,Protected Bike Lanes,R,Active,Paved,No,,49.21121050796508,-123.1168186,BC
29th Ave,W 29th Ave,Local Street,,Active,Paved,No,,49.24617027998967,-123.1849014,BC
Lakewood,Lakewood,Local Street,,Active,Paved,No,,49.26569518352942,-123.0619605,BC
Ontario,Ontario,Local Street,,Active,Paved,Yes,,49.26917097366198,-123.1046431,BC
Windsor,Windsor,Local Street,,Active,Paved,No,,49.23584916329996,-123.084754,BC
Sunrise,Slocan,Local Street,,Active,Paved,No,,49.273833689679485,-123.0493981,BC
Quebec,Quebec,Painted Lanes,NB,Active,Paved,Yes,,49.27245356647321,-123.1017923,BC
East Side Cross Cut,E PENDER ST,Local Street,,Active,Paved,No,,49.280204235088306,-123.0375158,BC
Cambie,Cambie,Protected Bike Lanes,SL,Active,Paved,Yes,,49.20660498283232,-123.1173141,BC
Sunrise,N Kaslo,Local Street,,Active,Paved,No,,49.285006113808095,-123.0466979,BC
Beach,Beach Crescent,Local Street,,Active,Paved,Yes,,49.27669847182659,-123.1345327,BC
Yukon,W 4th Ave,Painted Lanes,PBP,Active,Paved,Yes,,49.26332306336696,-123.1128937,BC
Ridgeway,Quesnel Drive,Local Street,,Active,Paved,No,,49.24777044301782,-123.1698472,BC
Yukon,W King Edward,Protected Bike Lanes,R,Active,Paved,No,,49.248940164482875,-123.1125134,BC
Ridgeway,E 45th Ave,Local Street,,Active,Paved,No,,49.22928927505412,-123.0415993,BC
Masumi Mitsui Greenway,E 59th Ave,Local Street,,Active,Paved,No,,49.21674540713082,-123.1014853,BC
Central Valley,Scotia St,Protected Bike Lanes,SL,Active,Paved,No,,49.26792748449219,-123.0979821,BC
Off-Broadway,W 8th Ave,Local Street,,Active,Paved,Yes,,49.26492158,-123.1655608,BC
Ontario,Ontario,Protected Bike Lanes,,Active,Paved,Yes,,49.26933391723764,-123.1046331,BC
45th Ave,E 45th Ave,Local Street,,Active,Paved,No,,49.22943526,-123.1047495,BC
Dumfries,Dumfries,Local Street,,Active,Paved,No,,49.23661524532375,-123.0741418,BC
Cassiar,Off Street,Protected Bike Lanes,OSS,Active,Paved,No,,49.28925407255923,-123.0283063,BC
Cypress,Angus Drive,Local Street,,Active,Paved,No,,49.21764147545058,-123.1483127,BC
Arbutus Greenway,Off Street,Protected Bike Lanes,OSB,Active,Paved,Yes,,49.226675457264136,-123.1545058,BC
Comox-Helmcken,Comox,Local Street,,Active,Paved,Yes,,49.29145554797739,-123.1439867,BC
Bute,Bute,Local Street,,Active,Paved,No,,49.28195917373216,-123.1330933,BC
Ontario,Ontario,Local Street,,Active,Paved,Yes,,49.22900392957642,-123.10583,BC
29th Ave,Midlothian Ave,Painted Lanes,NB,Active,Paved,Yes,,49.24501341135763,-123.1118331,BC
York,York Ave,Local Street,,Active,Paved,Yes,,49.27178006594885,-123.1602469,BC
Seaside,Point Grey Rd,Local Street,,Active,Paved,Yes,,49.27204203607107,-123.1825336,BC
Ridgeway,W 18th Ave,Local Street,,Active,Paved,No,,49.25651398256779,-123.1928656,BC
Yukon,Yukon,Painted Lanes,NB,Active,Paved,Yes,,49.26293146689983,-123.1129089,BC
Midtown,E 29th Ave,Shared Lanes,,Active,Paved,Yes,,49.24457256332594,-123.0379763,BC
29th Ave,W 29th Ave,Painted Lanes,NB,Active,Paved,Yes,,49.245182267113464,-123.1150161,BC
Midtown,Collingwood,Local Street,,Active,Paved,No,,49.23665840286644,-123.182011,BC
Off-Broadway,W 7th Ave,Local Street,,Active,Paved,No,,49.26502855639493,-123.1186223,BC
Mosaic,Woodland Drive,Protected Bike Lanes,OSB,Active,Paved,Yes,,49.26895384691119,-123.0735048,BC
Ridgeway,E 45th Ave,Local Street,,Active,Paved,Yes,,49.22934775584845,-123.049449,BC
Central Valley,Scotia St,Protected Bike Lanes,SL,Active,Paved,No,,49.26823699054832,-123.0975684,BC
Alder,Alder,Local Street,,Active,Paved,No,,49.25902602797312,-123.1315232,BC
Midtown/Ridgeway,E 38th Ave,Local Street,,Active,Paved,No,,49.23593013667218,-123.0651091,BC
Keefer,Keefer,Painted Lanes,NB,Active,Paved,Yes,,49.27923019088636,-123.1033245,BC
Prince Edward,Prince Edward,Local Street,,Active,Paved,No,,49.23760909784326,-123.0970366,BC
BC Parkway,Off Street,Protected Bike Lanes,OSS,Active,Paved,No,,49.24046500405558,-123.0372003,BC
22nd Ave,E 22nd Ave,Shared Lanes,,Active,Paved,Yes,,49.25062296018348,-123.0292454,BC
Kent,E Kent Ave South,Protected Bike Lanes,OSS,Active,Paved,No,,49.20869227255824,-123.0819378,BC
Valley,Trafalgar,Local Street,,Active,Paved,Yes,,49.26380367974575,-123.1646795,BC
Balaclava,Puget Drive,Local Street,,Active,Paved,No,,49.254862708763625,-123.1755888,BC
Dunsmuir,Dunsmuir,Protected Bike Lanes,SL,Active,Paved,Yes,,49.284736872523226,-123.118132,BC
Arthur Laing Bridge,Arthur Laing Bridge,Painted Lanes,NB,Active,Paved,No,,49.20064314897929,-123.135314,BC
45th Ave,E 45th Ave,Local Street,,Active,Paved,No,,49.22912279429978,-123.0875566,BC
67th Ave,Granville,Protected Bike Lanes,R,Active,Paved,No,,49.21069889645763,-123.1404508,BC
Killarney,E 46th Ave,Local Street,,Active,Paved,No,,49.22847004,-123.0531464,BC
Cassiar,Cassiar,Local Street,,Active,Paved,No,,49.28349946849625,-123.0308743,BC
45th Ave,W 45th Ave,Local Street,,Active,Paved,No,,49.23069921,-123.1452574,BC
41st Ave,W 41st Ave,Protected Bike Lanes,R,Active,Paved,Yes,,49.23362722065409,-123.118621,BC
Cypress,Cypress,Local Street,,Active,Paved,Yes,,49.263990768718685,-123.1481207,BC
29th Ave,Nanton,Local Street,,Active,Paved,No,,49.247419637800505,-123.139527,BC
Cambie,Cambie,Protected Bike Lanes,R,Active,Paved,Yes,,49.23974931862307,-123.117499,BC
Midtown/Ridgeway,W 37th Ave,Local Street,,Active,Paved,No,,49.238301508486586,-123.1557677,BC
East Side Cross Cut,Lillooet St,Local Street,,Active,Paved,No,,49.26361343901699,-123.0390268,BC
Prince Edward,Prince Edward,Local Street,,Active,Paved,No,,49.255409208027054,-123.0965342,BC
Portside,Wall,Local Street,,Active,Paved,No,,49.28920494703027,-123.0409364,BC
Kent,E Kent Ave North,Protected Bike Lanes,OSS,Active,Unpaved,Yes,,49.20669330389288,-123.0449692,BC
York,York Ave,Local Street,,Active,Paved,No,,49.271886220934256,-123.1646686,BC
Dumfries,Dumfries,Local Street,,Active,Paved,No,,49.22772811933475,-123.0744346,BC
Bute,BUTE ST,Protected Bike Lanes,OSB,Active,Paved,No,,49.28618071,-123.1267138,BC
Ridgeway,E 45th Ave,Local Street,,Active,Paved,No,,49.22928661639814,-123.0394549,BC
Cypress,Cypress,Local Street,,Active,Paved,No,,49.259381239941874,-123.1482914,BC
Heather,W 52nd Ave,Local Street,,Active,Paved,No,,49.22325547464975,-123.1233487,BC
Seaside,Point Grey Rd,Local Street,,Active,Paved,Yes,,49.27142969792271,-123.1766146,BC
Sunrise,N Kaslo,Local Street,,Active,Paved,No,,49.28645110553782,-123.0466955,BC
41st Ave,W 41st Ave,Protected Bike Lanes,R,Active,Paved,Yes,,49.23367966,-123.1201379,BC
Windsor,Windsor,Local Street,,Active,Paved,No,,49.25839915852837,-123.0833867,BC
Cypress,Cypress,Local Street,,Active,Paved,No,,49.26163581,-123.1482067,BC
Ridgeway,Narvaez Drive,Local Street,,Active,Paved,No,,49.24219217553488,-123.159764,BC
Portside,Wall,Local Street,,Active,Paved,No,,49.28873436241986,-123.0387833,BC
14th Ave,W 14th Ave,Local Street,,Active,Paved,No,,49.25911989383709,-123.151627,BC
Blanca,Blanca,Painted Lanes,PBT,Active,Paved,Yes,,49.26006224999117,-123.2153513,BC
Knight St Bridge,Knight St Bridge On Ramp,Painted Lanes,NB,Active,Paved,No,,49.21083128879515,-123.0793666,BC
Masumi Mitsui Greenway,Prestwick Drive,Local Street,,Active,Paved,No,,49.21736682162521,-123.071366,BC
Yukon,W 2nd Ave,Painted Lanes,NB,Active,Paved,Yes,,49.26752296047741,-123.1130122,BC
Comox-Helmcken,Comox,Protected Bike Lanes,SL,Active,Paved,Yes,,49.28713511129354,-123.1373257,BC
Mosaic,Woodland Drive,Local Street,,Active,Paved,Yes,,49.26759556350443,-123.0735311,BC
49th Ave,W 49th Ave,Protected Bike Lanes,SL,Active,Paved,No,,49.22631368233024,-123.1218402,BC
Prince Edward,Prince Edward,Local Street,,Active,Paved,No,,49.22327040078484,-123.0975762,BC
Stanley Park Causeway,Stanley Park Causeway,Protected Bike Lanes,OSS,Active,Paved,No,,49.295867650076325,-123.1359923,BC
East Side Cross Cut,Lillooet St,Local Street,,Active,Paved,No,,49.26871318,-123.038968,BC
Bute,Bute,Local Street,,Active,Paved,No,,49.281255626965454,-123.1341567,BC
Kent,E Kent Ave South,Protected Bike Lanes,OSS,Active,Paved,No,,49.206775238175496,-123.1046538,BC
Heather,Willow,Local Street,,Active,Paved,No,,49.23613,-123.123783,BC
Lakewood,Lakewood,Local Street,,Active,Paved,No,,49.26250964786096,-123.0620214,BC
Fraser River Trail,Off Street,Protected Bike Lanes,OSS,Active,Unpaved,No,,49.216144501524525,-123.1718379,BC
Windsor,Windsor,Local Street,,Active,Paved,No,,49.24005398241576,-123.0845997,BC
Expo,Expo Blvd,Painted Lanes,NB,Active,Paved,Yes,,49.27832653928129,-123.106893,BC
Musqueam Park Trail,,Protected Bike Lanes,OSS,Active,,No,,49.22908977006561,-123.1928,BC
Yukon,Yukon,Local Street,,Active,Paved,No,,49.245832104658795,-123.1123284,BC
Midtown/Ridgeway,E 37th Ave,Local Street,,Active,Paved,No,,49.236751148985086,-123.0706919,BC
Off-Broadway,E 7th Ave,Local Street,,Active,Paved,No,,49.26420532,-123.07384,BC
Midtown,E 29th Ave,Shared Lanes,,Active,Paved,Yes,,49.24456970270718,-123.0364797,BC
29th Ave,Eddington Drive,Local Street,,Active,Paved,No,,49.24588425545507,-123.1587426,BC
Seaside,Off Street,Protected Bike Lanes,OSB,Active,Paved,Yes,,49.27376963022176,-123.1122063,BC
63rd Ave,W 63rd Ave,Local Street,,Active,Paved,Yes,,49.213244219643265,-123.1133393,BC
Sunrise,Slocan,Local Street,,Active,Paved,No,,49.26409944257878,-123.0495454,BC
Masumi Mitsui Greenway,W 59th Ave,Local Street,,Active,Paved,No,,49.21709923079083,-123.1284993,BC
Ontario,Ontario,Local Street,,Active,Paved,Yes,,49.258915448441094,-123.1050722,BC
Cassiar,Cassiar,Local Street,,Active,Paved,No,,49.28192936462671,-123.0308333,BC
Off-Broadway,W 5th Ave,Local Street,,Active,Paved,Yes,,49.26669167380254,-123.1141547,BC
Keefer,Heatley Ave,Local Street,,Active,Paved,No,,49.278911469859175,-123.0896297,BC
Prince Edward,Prince Edward,Local Street,,Active,Paved,No,,49.220451232285846,-123.0976663,BC
Central Valley,E 1st Ave,Protected Bike Lanes,R,Active,Paved,Yes,,49.27018142631458,-123.1041751,BC
Seaside,Ogden,Local Street,,Active,Paved,No,,49.277056653963776,-123.1490157,BC
Off-Broadway,W 8th Ave,Local Street,,Active,Paved,Yes,,49.26545034738891,-123.2005621,BC
Beach,Beach Crescent,Local Street,,Active,Paved,No,,49.27327524164681,-123.1290917,BC
Valley,Trafalgar,Local Street,,Active,Paved,No,,49.260479413012234,-123.1647991,BC
Kerr,Kerr,Painted Lanes,NB,Active,Paved,Yes,,49.22306056659905,-123.0411363,BC
Hillcrest,E 30th Ave,Local Street,,Active,Paved,No,,49.24323448556043,-123.0985851,BC
Kent,Kent Ave,Protected Bike Lanes,R,Active,Paved,No,,49.20532990867154,-123.0342428,BC
Burrard,Burrard,Protected Bike Lanes,SL,Active,Paved,Yes,,49.27820044,-123.1305105,BC
Sunrise,N Kaslo,Local Street,,Active,Paved,No,,49.28796644006135,-123.0466864,BC
Mosaic,Woodland Drive,Local Street,,Active,Paved,Yes,,49.26656182456444,-123.0735505,BC
Smithe,Smithe,Protected Bike Lanes,SL,Active,Paved,Yes,,49.27982574587014,-123.1206709,BC
Ridgeway,E 45th Ave,Local Street,,Active,Paved,No,,49.22923536647826,-123.025371,BC
Rolston,Rolston St,Protected Bike Lanes,OSS,Active,Paved,No,,49.27429943634405,-123.1298035,BC
Pacific,Pacific St,Protected Bike Lanes,R,Active,Paved,Yes,,49.27421304392203,-123.1281953,BC
Windermere,Windermere,Local Street,,Active,Paved,No,,49.27977760021285,-123.0362035,BC
Balaclava,Balaclava,Local Street,,Active,Paved,No,,49.21995854531408,-123.1761238,BC
Cypress,Cypress,Local Street,,Active,Paved,No,,49.26209610603084,-123.1481896,BC
Sunrise,Slocan,Local Street,,Active,Paved,No,,49.259367934369266,-123.0495611,BC
Ridgeway,Nanaimo,Local Street,,Active,Paved,No,,49.230455016319695,-123.058928,BC
67th Ave,W 68th Ave,Local Street,,Active,Paved,No,,49.21053140070177,-123.1415692,BC
SW Marine,SW Marine Drive,Painted Lanes,NB,Active,Paved,Yes,,49.23680200540165,-123.2037509,BC
10th Ave,W 10th Ave,Local Street,,Active,Paved,Yes,,49.26280528499598,-123.1493644,BC
Ontario,Ontario,Local Street,,Active,Paved,Yes,,49.26230589397943,-123.1049251,BC
Central Valley,Off Street,Protected Bike Lanes,OSS,Active,Paved,Yes,,49.25908696689845,-123.04506,BC
Windsor,Windsor,Local Street,,Active,Paved,No,,49.24305016587552,-123.0840129,BC
Central Valley,Off Street,Protected Bike Lanes,OSS,Active,Paved,Yes,,49.26061888431268,-123.0339071,BC
Masumi Mitsui Greenway,E 59th Ave,Local Street,,Active,Paved,No,,49.21638513659657,-123.0762956,BC
Masumi Mitsui Greenway,E 59th Ave,Local Street,,Active,Paved,No,,49.216565259055685,-123.0929618,BC
Midtown,E 38th Ave,Local Street,,Active,Paved,No,,49.23584858160823,-123.0497749,BC
Yukon,W 4th Ave,Painted Lanes,PBP,Active,Paved,Yes,,49.26436861390786,-123.1128474,BC
Dumfries,Fleming,Local Street,,Active,Paved,No,,49.25185774496518,-123.0719602,BC
29th Ave,W 29th Ave,Local Street,,Active,Paved,No,,49.24624266455447,-123.1972786,BC
Prince Edward,Prince Edward,Local Street,,Active,Paved,No,,49.24000552423302,-123.0969386,BC
Lakewood,Lakewood,Local Street,,Active,Paved,No,,49.281879369943205,-123.061694,BC
Balaclava,Balaclava,Local Street,,Active,Paved,No,,49.26123946441315,-123.1740816,BC
45th Ave,W 45th Ave,Local Street,,Active,Paved,No,,49.23050275,-123.1365384,BC
Arbutus Greenway,Off Street,Protected Bike Lanes,OSB,Active,Paved,Yes,,49.227948232564216,-123.1552596,BC
Sunrise,Vivian St,Local Street,,Active,Paved,No,,49.22323467231236,-123.0504012,BC
Sunrise,Slocan,Local Street,,Active,Paved,No,,49.25589719471812,-123.0495517,BC
Ontario,Ontario,Protected Bike Lanes,SL,Active,Paved,Yes,,49.22504113383491,-123.1059823,BC
Hastings Park,Off Street,Protected Bike Lanes,OSS,Active,Paved,No,,49.28139337620931,-123.034896,BC
Ridgeway,E 45th Ave,Local Street,,Active,Paved,No,,49.22927917946339,-123.0378084,BC
Mosaic,E 14th Ave,Local Street,,Active,Paved,No,,49.25771996609247,-123.0656355,BC
Off-Broadway,E 5th Ave,Local Street,,Active,Paved,No,,49.266417350999056,-123.1012082,BC
Hillcrest,E 30th Ave,Local Street,,Active,Paved,No,,49.243309294225746,-123.102974,BC
Cardero,Cardero,Local Street,,Active,Paved,No,,49.283987636745266,-123.1405268,BC
29th Ave,W 29th Ave,Local Street,,Active,Paved,No,,49.24610001,-123.1669265,BC
